Year,Sector_1,Sector_2,Sector_3,Sector_4,Element,Category,Unit,Value
1860,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4437000.0
1860,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,11166262.4730513
1860,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,17059151.9111548
1860,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,18523140.1532608
1860,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,789359.3542915
1860,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,789359.3542915
1860,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1860,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1860,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1860,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1860,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,1821797764.16764
1860,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1123348337.97501
1861,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4848970.00028792
1861,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,12056179.2590853
1861,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,19028662.2439135
1861,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,20725442.6064453
1861,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,892511.227936353
1861,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,894527.964320069
1861,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1861,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1861,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1861,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1861,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,2035090813.69077
